,index,Job Title,Company Name,Job Location,Salary,Job Type,Job URL
57,42,Business Analyst - Senior,EY,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=0dc269dcc8a73d7c&bb=hjgzKZlbHRw3pxZGVzcdLRIFvQHdzSU12lkOLMvTCIgfU_BQQmcecWmwqpmioCS_&xkcb=SoBm67M3GSkatKAxXz0PbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
58,43,Python Developer,Tuna Software Solutions,"Edapalli, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=c688e8b6f34a92ca&bb=7RfOsQ_pDTwQ0rMsXr0YvnALhp8kctzmPOU4z6xHx2buLUvxsHIgfkMrM0N4ZdV1&xkcb=SoAw67M3GSkatKgxXz0LbzkdCdPP&fccid=c59fc048424d868a&vjs=3
59,44,Software Engineer,Calpine Group,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=436a7453113d02f9&bb=7RfOsQ_pDTxs07nOuAAfm3QZIQlB06J1j8jzqyG4JXXIBuw7kzqS9YUkFFxcHOPe&xkcb=SoAZ67M3GSkatKgxXz0JbzkdCdPP&fccid=b6c30111840620e9&vjs=3
60,40,Faculty/Trainer: Artificial Intelligence,TIS,"Ernakulam, Kerala","₹15,000 - ₹25,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=ee5aecca3feae713&bb=eUG5_9K68x8-xkF7Tc5_7mLoYIuDFye2XO93Eeb2hHSllABbZqhgNzbAg75yedGC&xkcb=SoDz67M3GSkZwBWMDJ0KbzkdCdPP&fccid=0a8237c7857f98d6&cmp=Global-IT-training-hub&ti=Faculty&vjs=3
61,41,Python intern,RP2,"Ernakulam, Kerala","₹50,000.00 - ₹1,00,000.56 a month",Permanent,https://in.indeed.com/rc/clk?jk=92b1a732f3b02b82&bb=raoT3mCd6SA1P2nvKEPF1IicEdL_ODyAilrRsRLVQXmUsolz7j_HHlgJqOuHm118&xkcb=SoC267M3GSkZwB2MDJ0KbzkdCdPP&fccid=4ea33b9cf62ebb89&cmp=RP2&ti=Python+Intern&vjs=3
62,42,Software Developer (Full Stack)- GDS Technology,EY,"Kochi, Kerala","₹20,000 - ₹30,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=60d2289a415937af&bb=raoT3mCd6SB0iBZF-3uTk4AWTcH43hLw8Qx3Zrn_kb6lVriaBQjLvh3lQ9U9GQqH&xkcb=SoCf67M3GSkZwB2MDJ0IbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
63,43,BI Developer,HRBRO PLACEMENT SERVICES,"Kochi, Kerala","₹15,000 - ₹25,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=d37c67ddd3f3cc64&bb=TU1poqI9-ER-TSWklTw44lyCc2XrCwPA3Bmjp2-vpCEMLAxaBAlQXptTdr0Svzno&xkcb=SoA467M3GSkZwAWMDJ0KbzkdCdPP&fccid=97f519641ee9b908&cmp=HRBRO-PLACEMENT-SERVICES&ti=Business+Intelligence+Developer&vjs=3
64,44,Data Engineer,MINECRAFT CONSULTANTS,"Kochi, Kerala","₹4,00,000 - ₹9,00,000 a year",Permanent,https://in.indeed.com/rc/clk?jk=2a3d0996ad06d7a7&bb=TU1poqI9-EQPlIVUyNhMAcn6Fz-4kCOPYwnVwt__a8XpyktjyvOnljx0zOO_uFmQ&xkcb=SoAR67M3GSkZwAWMDJ0IbzkdCdPP&fccid=88b1dda44bc83c6b&cmp=MINECRAFT-CONSULTANTS&ti=Data+Engineer&vjs=3
65,45,Software Test Engineer,Finobase Global Solutions Pvt. Ltd.,"Kochi, Kerala","₹20,000 - ₹35,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=249f3a1642ae0e0f&bb=IamD-8mxihBVnauNNb00a5dwcCj4a5uc8qoPphj_NBAIB4bvGTa4Gx-aiAgBYaFf&xkcb=SoB967M3GSkZwA2MDJ0KbzkdCdPP&fccid=9fa68c4c76f262ac&cmp=Tasa-Builders-and-Developers-Pvt-Ltd&ti=Software+Test+Engineer&vjs=3
66,46,Front End Developer,Synctric Technology Pvt. Ltd.,"Ernakulam, Kerala",Not specified,Permanent,https://in.indeed.com/rc/clk?jk=a6daa9161c56da66&bb=IamD-8mxihDaoRbcImUUK18ITUPKVBikxiXQ29gk8grhIVIlwzK-ThuxAba-7IZh&xkcb=SoBu67M3GSkZwA2MDJ0ObzkdCdPP&fccid=4f7ea9685bdf67d1&cmp=Synctric-Technology-Pvt.-Ltd.&ti=Front+End+Developer&vjs=3
